x1,x2,x3,x4,x5,y
7.11,-447.71,135.66,92.41,96.04,9131.4
7.06,-455.33,94.49,91.76,92.16,9001.86
6.89,-466.86,186.25,89.54,100,8595.85
7.25,-440.53,176.83,94.24,84.64,9469.94
7.24,-445.92,185.9,94.11,88.36,9448.98
7.4,-448.77,76.08,96.15,81,9838
7.02,-404.21,89.41,91.24,73.96,8885.34
7.44,-397.92,102.09,96.68,77.44,9943.23
7.38,-394.19,113.1,95.88,67.24,9772.85
6.91,-388,63.85,89.86,70.56,8625.01
6.68,-361.54,183.47,86.83,60.84,8062.54
6.92,-333.53,54.77,89.93,57.76,8627.29
7.02,-331.42,177.69,91.22,51.84,8861.15
7.26,-395.72,185.9,94.42,64,9482.21
7.56,-356.99,49.86,98.28,54.76,10239.1
7.33,-314.09,135.65,95.27,49,9637.03
7.17,-283.05,36.96,93.25,36,9230.61
7.46,-283.87,87.54,96.99,43.56,9971.99
7.53,-315.13,26.9,97.95,46.24,10165.04
7.64,-274.54,76.08,99.35,38.44,10442.49
7.04,-271.97,36.14,91.52,33.64,8899.14
7.4,-304.7,159.5,96.18,40.96,9806.54
6.8,-278.77,169.15,88.41,31.36,8319.35
7.5,-257.55,187.04,97.45,27.04,10044.64
7,-266.76,87.58,91.06,29.16,8807.23
7.03,-193.52,72.11,91.45,23.04,8879.5
7.44,-192.23,111.69,96.71,21.16,9896.29
7.53,-206.45,174.21,97.9,25,10138.8
7.46,-203.27,128.02,96.97,17.64,9942.15
7.18,-175.92,126.41,93.37,16,9238.98
7.2,-208.89,84.45,93.63,19.36,9289.67
7.79,-166.43,86.07,101.29,12.96,10820.8
7.25,-152.23,168.33,94.22,14.44,9403.53
7.43,-167.44,76.08,96.59,11.56,9862.86
7.22,-143,10.67,93.87,10.24,9330.94
7.62,-108,76.09,99.01,7.84,10350.02
7.82,-130.91,89.41,101.61,9,10885.11
7.24,-98.1,54.29,94.13,5.76,9380.08
7.8,-91.25,104.18,101.42,6.76,10847.8
7.31,-74.7,186.25,94.99,3.24,9545.62
7.56,-88.28,64.45,98.27,4.84,10197.98
7.78,-60.55,113.75,101.11,4,10781.44
7.14,-73.59,59.52,92.85,2.56,9131.59
7.2,-14.13,194.25,93.59,1.44,9277.72
7.08,-4.13,147.26,92.02,1,8978.58
7.71,-54.04,51.71,100.24,1.96,10600.59
7.14,-38.39,151.1,92.84,0.64,9129.66
7.71,45.44,190.38,100.23,0,10605.37
7.34,-0.66,167.95,95.43,0.16,9635.8
7.64,13.84,113.1,99.3,0.36,10412.98
7.04,38.95,94.52,91.54,0.04,8890.47
7.35,25.96,54.03,95.59,0.04,9669.73
7.32,46.6,147.26,95.13,0.36,9581.29
7.36,48.13,123.06,95.67,0.16,9688.22
7.82,82.41,114.33,101.61,1.44,10897.11
7.68,73.03,39.03,99.9,1.96,10543.83
7.7,42.75,185.9,100.08,0.64,10576.07
7.62,54.04,181.77,99,1,10357.02
7.15,124.81,164.89,93.01,3.24,9183.51
7.57,144.9,168.16,98.39,5.76,10247.74
7.92,99.09,141.82,102.98,2.56,11187.87
7.71,138.13,72.13,100.21,4.84,10616.13
7.53,158.84,96.33,97.86,7.84,10143.7
7.55,122.26,168.16,98.12,4,10187.66
7.8,173.55,175.41,101.39,6.76,10866.63
8.1,151.23,63.24,105.33,9,11705.01
7.87,193.86,102.09,102.3,10.24,11065.37
8.09,203.09,123.5,105.21,11.56,11687.8
7.47,236.76,96.97,97.15,14.44,10018.82
8.06,222.56,122.88,104.78,19.36,11607.64
7.66,182.56,9.8,99.6,12.96,10507.88
8.05,247.15,16.18,104.6,16,11565.65
7.48,228.43,135.65,97.27,17.64,10045.49
7.57,262.92,66.38,98.4,21.16,10280.93
8.05,283.51,67.8,104.67,29.16,11600.79
8.16,250.52,17.13,106.14,25,11911.41
8.08,261.9,48.46,105.07,23.04,11677.31
8.1,301.22,59.52,105.3,27.04,11737.41
7.93,284.87,40.49,103.08,31.36,11266.03
7.89,294.87,181.77,102.57,33.64,11160.92
7.37,349.45,195.81,95.75,38.44,9784.05
7.59,341.88,189.62,98.73,40.96,10381.68
7.5,330.88,195.81,97.53,36,10133.06
8.2,378.26,31.2,106.62,43.56,12052.19
8.28,361.89,61.21,107.59,46.24,12266.88
8.06,362.75,67.98,104.74,51.84,11653.59
8.06,385.91,79.28,104.77,49,11659.75
7.71,394.67,79.27,100.22,54.76,10710.7
7.9,409.97,16.18,102.72,57.76,11235.9
7.71,402.47,135.65,100.27,60.84,10728.09
7.46,418.32,119.96,97.04,64,10080.08
7.75,412.67,72.12,100.76,67.24,10838.32
7.53,462.56,44.45,97.84,77.44,10260.62
8.13,470.7,189.63,105.65,73.96,11889.26
7.89,438.03,176.83,102.61,70.56,11232.89
7.51,464.04,185.73,97.66,84.64,10233.93
7.86,479.03,187.04,102.18,88.36,11168.68
8.37,489.5,159.51,108.85,81,12605.81
8.32,496.95,17.12,108.16,92.16,12467.96
8.37,546.88,104.18,108.83,100,12631.05
7.54,529.45,181.65,98.02,96.04,10327.89
